0	6683	6962	79	32	12197
39	201	413	0	562	3965
0	9078	6910	1290	810	343203
0	923	1088	181	853	24672
0	282	254	2	1278	606
0	3738	3561	460	10570	29276
0	560	312	9	3406	30502
0	521	229	280	0	324316
0	244	183	6	184	9258
0	89	212	25	2	4918
0	129	220	5	9474	5907
0	1608	1904	152	386	22640
0	9078	6910	1290	810	343203
0	1030	1048	194	869	27977
0	319	273	29	18816	64031
1	1085	1703	38	14216	16781
1	211	236	0	2003	4757
0	836	982	3	1	12276
0	134	90	12	718	3979
0	6317	5936	500	844	32334
1	266	567	6	2869	9259
1	11028	624	86	115457	81465
0	1258	150	628	0	1237993
1	1638	2536	180	715	53419
0	362	135	56	23125	12764
1	4632	4057	55	62	12171
0	155	244	26	6	20931
0	40	198	0	459	13752
0	1790	822	38	28560	29870
0	9078	6910	1290	810	343203
0	14704	10398	935	4016	88625
0	78	156	0	9713	17955
0	9078	6910	1290	810	343203
0	88	63	26	3	6210
0	1440	1449	166	282	21132
0	8397	4861	156	6519	154639
0	292	318	2	6143	8200
0	278	257	3	17	2526
0	701	430	4	0	7252
0	240	140	16	8129	4139
0	205	191	2	101	2110
0	113	578	2	71	479
0	251	187	2	7517	10261
1	560	175	5	5307	36472
0	17	45	1	4460	2775
0	172	182	14	171316	68088
0	3588	2433	138	91	174268
0	79	1	26	4	113099
1	65	56	0	196	803
0	1625	2601	32	21049	24421
0	410	296	4	8307	4091
0	89	212	25	2	4918
1	7824	7383	1694	6611	52615
0	847	1024	157	832	24135
2	352	58	9	283	171594
1	299	160	1	1948	9326
0	3738	3561	460	10570	29276
0	17	3	10	0	98534
0	1899	1975	367	41	17396
0	1268	854	46	114	36891
0	9078	6910	1290	810	343203
1	1125	423	5	1760	52712
0	369	383	1	12163	1384
0	9078	6910	1290	810	343203
0	787	698	9	12213	65641
0	895	1060	159	981	24568
1	1855	1972	194	2309	37426
0	132	52	39	14	38115
0	912	962	132	317	21047
1	48	38	0	240	357
0	113	520	10	1758	3989
0	6	3	6	0	213
0	1018	960	11	36489	88881
0	137	234	2	3	1573
0	9078	6910	1290	810	343203
0	2413	90	27	21002	113291
0	912	962	132	317	21047
0	21	159	2	0	39838
0	925	952	155	250	22185
1	165	187	11	9768	11480
0	772	1306	0	426	24670
1	14	20	0	1500	817
1	428	54	2	271	4861
0	231	191	5	2357	26294
0	1076	1037	183	1206	28299
1	3476	1418	89	35589	88279
0	736	230	37	19034	129141
0	190	126	86	12	9725
